                                                                                                             
{'loss': '2.382', 'grad_norm': '4.584', 'learning_rate': '0.0001997', 'epoch': '0.005139'}
{'loss': '0.2751', 'grad_norm': '0.94', 'learning_rate': '0.0001993', 'epoch': '0.01028'}
{'loss': '0.1804', 'grad_norm': '1.541', 'learning_rate': '0.000199', 'epoch': '0.01542'}
{'loss': '0.1319', 'grad_norm': '0.3676', 'learning_rate': '0.0001987', 'epoch': '0.02055'}
{'loss': '0.1904', 'grad_norm': '0.8971', 'learning_rate': '0.0001983', 'epoch': '0.02569'}
{'loss': '0.1619', 'grad_norm': '1.032', 'learning_rate': '0.000198', 'epoch': '0.03083'}
{'loss': '0.1436', 'grad_norm': '0.7285', 'learning_rate': '0.0001976', 'epoch': '0.03597'}
{'loss': '0.1514', 'grad_norm': '0.5769', 'learning_rate': '0.0001973', 'epoch': '0.04111'}
{'loss': '0.1061', 'grad_norm': '0.584', 'learning_rate': '0.000197', 'epoch': '0.04625'}
{'loss': '0.1646', 'grad_norm': '0.7613', 'learning_rate': '0.0001966', 'epoch': '0.05139'}
{'loss': '0.1381', 'grad_norm': '0.6621', 'learning_rate': '0.0001963', 'epoch': '0.05653'}
{'loss': '0.138', 'grad_norm': '0.5851', 'learning_rate': '0.0001959', 'epoch': '0.06166'}
{'loss': '0.1563', 'grad_norm': '1.044', 'learning_rate': '0.0001956', 'epoch': '0.0668'}
{'loss': '0.1358', 'grad_norm': '0.6312', 'learning_rate': '0.0001952', 'epoch': '0.07194'}
{'loss': '0.1201', 'grad_norm': '0.5865', 'learning_rate': '0.0001949', 'epoch': '0.07708'}
{'loss': '0.1386', 'grad_norm': '0.2996', 'learning_rate': '0.0001946', 'epoch': '0.08222'}
{'loss': '0.1205', 'grad_norm': '0.5358', 'learning_rate': '0.0001942', 'epoch': '0.08736'}
{'loss': '0.133', 'grad_norm': '1.008', 'learning_rate': '0.0001939', 'epoch': '0.0925'}
{'loss': '0.13', 'grad_norm': '0.4313', 'learning_rate': '0.0001935', 'epoch': '0.09764'}
{'loss': '0.1255', 'grad_norm': '0.4587', 'learning_rate': '0.0001932', 'epoch': '0.1028'}
{'loss': '0.1146', 'grad_norm': '0.3416', 'learning_rate': '0.0001928', 'epoch': '0.1079'}
{'loss': '0.131', 'grad_norm': '0.5719', 'learning_rate': '0.0001925', 'epoch': '0.1131'}
{'loss': '0.1291', 'grad_norm': '0.5562', 'learning_rate': '0.0001922', 'epoch': '0.1182'}
{'loss': '0.1182', 'grad_norm': '0.6671', 'learning_rate': '0.0001918', 'epoch': '0.1233'}
{'loss': '0.1231', 'grad_norm': '0.4459', 'learning_rate': '0.0001915', 'epoch': '0.1285'}
{'loss': '0.1064', 'grad_norm': '0.7434', 'learning_rate': '0.0001911', 'epoch': '0.1336'}
{'loss': '0.1267', 'grad_norm': '0.3593', 'learning_rate': '0.0001908', 'epoch': '0.1387'}
{'loss': '0.1153', 'grad_norm': '0.3431', 'learning_rate': '0.0001904', 'epoch': '0.1439'}
{'loss': '0.1282', 'grad_norm': '0.4195', 'learning_rate': '0.0001901', 'epoch': '0.149'}
{'loss': '0.1196', 'grad_norm': '0.3264', 'learning_rate': '0.0001898', 'epoch': '0.1542'}
{'loss': '0.1149', 'grad_norm': '0.2526', 'learning_rate': '0.0001894', 'epoch': '0.1593'}
{'loss': '0.114', 'grad_norm': '0.3978', 'learning_rate': '0.0001891', 'epoch': '0.1644'}
{'loss': '0.124', 'grad_norm': '0.3084', 'learning_rate': '0.0001887', 'epoch': '0.1696'}
{'loss': '0.113', 'grad_norm': '0.3177', 'learning_rate': '0.0001884', 'epoch': '0.1747'}
{'loss': '0.125', 'grad_norm': '0.281', 'learning_rate': '0.000188', 'epoch': '0.1799'}
{'loss': '0.1124', 'grad_norm': '0.1632', 'learning_rate': '0.0001877', 'epoch': '0.185'}
{'loss': '0.1223', 'grad_norm': '0.3882', 'learning_rate': '0.0001874', 'epoch': '0.1901'}
{'loss': '0.1272', 'grad_norm': '0.5764', 'learning_rate': '0.000187', 'epoch': '0.1953'}
{'loss': '0.1099', 'grad_norm': '0.386', 'learning_rate': '0.0001867', 'epoch': '0.2004'}
{'loss': '0.1085', 'grad_norm': '0.2646', 'learning_rate': '0.0001863', 'epoch': '0.2055'}
{'loss': '0.123', 'grad_norm': '0.476', 'learning_rate': '0.000186', 'epoch': '0.2107'}
{'loss': '0.1285', 'grad_norm': '0.3865', 'learning_rate': '0.0001856', 'epoch': '0.2158'}
{'loss': '0.1178', 'grad_norm': '0.2667', 'learning_rate': '0.0001853', 'epoch': '0.221'}
{'loss': '0.1186', 'grad_norm': '0.353', 'learning_rate': '0.000185', 'epoch': '0.2261'}
{'loss': '0.1238', 'grad_norm': '0.3621', 'learning_rate': '0.0001846', 'epoch': '0.2312'}
{'loss': '0.1124', 'grad_norm': '0.2804', 'learning_rate': '0.0001843', 'epoch': '0.2364'}
{'loss': '0.1021', 'grad_norm': '0.3116', 'learning_rate': '0.0001839', 'epoch': '0.2415'}
{'loss': '0.1026', 'grad_norm': '0.1546', 'learning_rate': '0.0001836', 'epoch': '0.2467'}
{'loss': '0.1077', 'grad_norm': '0.386', 'learning_rate': '0.0001832', 'epoch': '0.2518'}
{'loss': '0.1145', 'grad_norm': '0.2975', 'learning_rate': '0.0001829', 'epoch': '0.2569'}
{'loss': '0.1405', 'grad_norm': '0.3617', 'learning_rate': '0.0001826', 'epoch': '0.2621'}
{'loss': '0.1117', 'grad_norm': '0.3783', 'learning_rate': '0.0001822', 'epoch': '0.2672'}
{'loss': '0.1297', 'grad_norm': '0.2532', 'learning_rate': '0.0001819', 'epoch': '0.2724'}
{'loss': '0.1086', 'grad_norm': '0.2745', 'learning_rate': '0.0001815', 'epoch': '0.2775'}
